target,n_estimators,max_depth,learning_rate,average_mse,average_r2
LBL_aFLminpA_fut_001,10,3,0.01,12521.99609375,0.12398513555526733
LBL_aFLminpA_fut_001,10,3,0.001,14240.327734375,0.0011966228485107422
LBL_aFLminpA_fut_001,10,5,0.1,4809.208837890625,0.661916708946228
LBL_aFLminpA_fut_001,10,5,0.01,12482.57421875,0.126311993598938
LBL_aFLminpA_fut_001,10,5,0.001,14238.2302734375,0.001328885555267334
LBL_aFLminpA_fut_001,50,1,0.1,2910.9887451171876,0.7716905236244201
LBL_aFLminpA_fut_001,50,1,0.01,8754.94560546875,0.3813445448875427
LBL_aFLminpA_fut_001,50,1,0.001,13633.1044921875,0.04370828866958618
LBL_aFLminpA_fut_001,50,2,0.1,2525.626953125,0.8027471899986267
LBL_aFLminpA_fut_001,50,2,0.01,7735.5900390625,0.45490130186080935
LBL_aFLminpA_fut_001,50,2,0.001,13486.380859375,0.05427292585372925
LBL_aFLminpA_fut_001,50,3,0.1,2466.8065185546875,0.8099558591842652
LBL_aFLminpA_fut_001,50,3,0.01,7601.165234375,0.46941596269607544
LBL_aFLminpA_fut_001,50,3,0.001,13440.658203125,0.058218884468078616
LBL_aFLminpA_fut_001,50,5,0.1,2785.2184814453126,0.7890268683433532
LBL_aFLminpA_fut_001,50,5,0.01,7580.78505859375,0.4720491051673889
LBL_aFLminpA_fut_001,50,5,0.001,13425.89453125,0.0591278076171875
LBL_aFLminpA_fut_001,100,1,0.1,2816.28125,0.778166902065277
LBL_aFLminpA_fut_001,100,1,0.01,6024.86552734375,0.566700553894043
LBL_aFLminpA_fut_001,100,1,0.001,12875.8076171875,0.09663152694702148
LBL_aFLminpA_fut_001,100,2,0.1,2527.54169921875,0.8022959589958191
LBL_aFLminpA_fut_001,100,2,0.01,4978.1431640625,0.6431861042976379
LBL_aFLminpA_fut_001,100,2,0.001,12614.54189453125,0.11565223932266236
LBL_aFLminpA_fut_001,100,3,0.1,2517.6988037109377,0.8053386449813843
LBL_aFLminpA_fut_001,100,3,0.01,4725.769580078125,0.6674942016601563
LBL_aFLminpA_fut_001,100,3,0.001,12530.10263671875,0.12336746454238892
LBL_aFLminpA_fut_001,100,5,0.1,2780.1471435546873,0.7888678908348083
LBL_aFLminpA_fut_001,100,5,0.01,5011.4232421875,0.6478071451187134
LBL_aFLminpA_fut_001,100,5,0.001,12492.42783203125,0.12564204931259154
LBL_aFLminpA_fut_001,500,1,0.1,3031.241845703125,0.7633606910705566
LBL_aFLminpA_fut_001,500,1,0.01,2875.840185546875,0.7761131882667541
LBL_aFLminpA_fut_001,500,1,0.001,8762.50634765625,0.3808575630187988
LBL_aFLminpA_fut_001,500,2,0.1,2633.4880859375,0.7956498622894287
LBL_aFLminpA_fut_001,500,2,0.01,2567.0908935546877,0.800545620918274
LBL_aFLminpA_fut_001,500,2,0.001,7750.0345703125,0.4539122462272644
LBL_aFLminpA_fut_001,500,3,0.1,2530.10703125,0.8046784639358521
LBL_aFLminpA_fut_001,500,3,0.01,2471.742529296875,0.8111340999603271
LBL_aFLminpA_fut_001,500,3,0.001,7617.12294921875,0.4682896614074707
LBL_aFLminpA_fut_001,500,5,0.1,2782.7513916015623,0.7886835336685181
LBL_aFLminpA_fut_001,500,5,0.01,2773.735302734375,0.78917396068573
LBL_aFLminpA_fut_001,500,5,0.001,7612.50830078125,0.4699762225151062
